setting,policy,budget,recall@10,ndcg@10,mrr@10,recall@100,ndcg@100,mrr@100
scifact_minilm_bge,adapter,-,0.6392,0.473,0.4235,0.8643,0.5222,0.4323
scifact_minilm_bge,full_new,-,0.8147,0.6952,0.6622,0.9517,0.7247,0.6677
scifact_minilm_bge,fastfill_uncertainty,mean(1-20%),0.6494,0.4873,0.4395,0.8728,0.5361,0.4482
scifact_minilm_bge,fastfill_uncertainty,0.10,0.6526,0.488,0.4387,0.876,0.5368,0.4475
scifact_minilm_bge,learned_gain,mean(1-20%),0.6816,0.5282,0.4834,0.8822,0.5718,0.4909
scifact_minilm_bge,learned_gain,0.10,0.6898,0.5373,0.4925,0.886,0.5796,0.4998
scifact_minilm_bge,ric_mg,mean(1-20%),0.733,0.5441,0.4871,0.8906,0.5787,0.493
scifact_minilm_bge,ric_mg,0.10,0.7592,0.565,0.5066,0.896,0.5949,0.5114
scifact_minilm_bge,ric_oracle_shadow,mean(1-20%),0.7321,0.5332,0.473,0.8888,0.567,0.4787
scifact_minilm_bge,ric_oracle_shadow,0.10,0.7666,0.5577,0.4942,0.8983,0.5862,0.4988
nfcorpus_minilm_bge,adapter,-,0.1075,0.2413,0.4121,0.2763,0.2268,0.4217
nfcorpus_minilm_bge,full_new,-,0.1636,0.3456,0.5381,0.3099,0.3013,0.5441
nfcorpus_minilm_bge,fastfill_uncertainty,mean(1-20%),0.1211,0.2586,0.4354,0.2823,0.2384,0.4444
nfcorpus_minilm_bge,fastfill_uncertainty,0.10,0.1251,0.262,0.4352,0.2829,0.2407,0.4439
nfcorpus_minilm_bge,learned_gain,mean(1-20%),0.1212,0.2632,0.4374,0.2825,0.2404,0.4466
nfcorpus_minilm_bge,learned_gain,0.10,0.1253,0.2701,0.4484,0.2826,0.2452,0.4574
nfcorpus_minilm_bge,ric_mg,mean(1-20%),0.1327,0.2776,0.4602,0.288,0.2523,0.4687
nfcorpus_minilm_bge,ric_mg,0.10,0.1413,0.2909,0.4749,0.2917,0.2608,0.4829
nfcorpus_minilm_bge,ric_oracle_shadow,mean(1-20%),0.1298,0.2747,0.4572,0.2886,0.2495,0.4657
nfcorpus_minilm_bge,ric_oracle_shadow,0.10,0.1411,0.2898,0.4784,0.2934,0.2601,0.4865
scifact_e5,adapter,-,0.6893,0.4972,0.4404,0.8707,0.5358,0.447
scifact_e5,full_new,-,0.8451,0.7099,0.6707,0.9493,0.7334,0.675
scifact_e5,fastfill_uncertainty,mean(1-20%),0.7078,0.5261,0.4725,0.876,0.5619,0.4785
scifact_e5,fastfill_uncertainty,0.10,0.7126,0.5356,0.4834,0.874,0.5701,0.4892
scifact_e5,learned_gain,mean(1-20%),0.7342,0.5633,0.5134,0.8803,0.5948,0.5189
scifact_e5,learned_gain,0.10,0.7399,0.5794,0.5336,0.8773,0.6092,0.5388
scifact_e5,ric_mg,mean(1-20%),0.7731,0.561,0.4975,0.8982,0.5879,0.5021
scifact_e5,ric_mg,0.10,0.7988,0.579,0.5132,0.9063,0.602,0.517
scifact_e5,ric_oracle_shadow,mean(1-20%),0.7706,0.5583,0.4945,0.891,0.5847,0.4992
scifact_e5,ric_oracle_shadow,0.10,0.7994,0.5787,0.5122,0.898,0.6006,0.5162
nfcorpus_e5,adapter,-,0.1112,0.241,0.3834,0.2701,0.2237,0.3922
nfcorpus_e5,full_new,-,0.1652,0.3461,0.5457,0.3075,0.3017,0.5508
nfcorpus_e5,fastfill_uncertainty,mean(1-20%),0.1191,0.2572,0.4197,0.2761,0.2368,0.4289
nfcorpus_e5,fastfill_uncertainty,0.10,0.1215,0.2623,0.4353,0.2784,0.2414,0.4448
nfcorpus_e5,learned_gain,mean(1-20%),0.1226,0.2607,0.4252,0.2788,0.2374,0.4341
nfcorpus_e5,learned_gain,0.10,0.1249,0.2644,0.4381,0.282,0.2404,0.4469
nfcorpus_e5,ric_mg,mean(1-20%),0.1235,0.2588,0.4122,0.2794,0.2373,0.4192
nfcorpus_e5,ric_mg,0.10,0.128,0.2655,0.4224,0.2842,0.242,0.4285
nfcorpus_e5,ric_oracle_shadow,mean(1-20%),0.1229,0.2591,0.4138,0.2796,0.2381,0.4214
nfcorpus_e5,ric_oracle_shadow,0.10,0.1289,0.2669,0.4257,0.2832,0.2438,0.433
